Components,Type,Label
ConfirmOrder(jsp),view,0
LineItem,class,0
lineitem(table),table,0
LineItemMapper,class,0
ListOrders(jsp),view,0
NewOrderForm(jsp),view,0
Order,class,0
OrderActionBean,class,0
OrderMapper,class,0
orders(table),table,0
OrderService,class,0
orderstatus(table),table,0
Sequence,class,0
sequence(table),table,0
SequenceMapper,class,0
ShippingForm(jsp),view,0
ViewOrder(jsp),view,0
Account,class,1
account(table),table,1
AccountActionBean,class,1
AccountMapper,class,1
AccountService,class,1
bannerdata(table),table,1
EditAccountForm(jsp),view,1
IncludeAccountFields(jsp),view,1
NewAccountForm(jsp),view,1
profile(table),table,1
signon(table),table,1
SignonForm(jsp),view,1
IncludeMyList(jsp),view,1
Cart,class,2
Cart(jsp),view,2
CartActionBean,class,2
CartItem,class,2
Checkout(jsp),view,2
CatalogActionBean,class,3
CatalogService,class,3
Category,class,3
Category(jsp),view,3
category(table),table,3
CategoryMapper,class,3
inventory(table),table,3
Item,class,3
Item(jsp),view,3
item(table),table,3
ItemMapper,class,3
Product,class,3
Product(jsp),view,3
product(table),table,3
ProductMapper,class,3
SearchProducts(jsp),view,3
supplier(table),table,3
Main(jsp),view,3
AbstractActionBean,class,C
Error(jsp),view,C
IncludeBottom(jsp),view,C
IncludeTop(jsp),view,C
index(html),view,C
help(html),view,C
